"","fish_id","species","family","size_tl_cm","mass_kg","site","habitat","FunctionalGroup","trophic_level","Feeding_path","Lmax","K","tm","Calcium","Iron","Zinc","Selenium","Omega3"
"1","AQMA_001","Acanthurus mata","Acanthuridae",24,0.24,"M1","Macroalgae","Herbivore Grazer",2.53,"benthic",50,0.219,2.666666667,52.205,0.838,3.245,17,0.12068
"2","AQMA_002","Acanthurus mata","Acanthuridae",23,0.23,"M1","Macroalgae","Herbivore Grazer",2.53,"benthic",50,0.219,2.666666667,51.068,0.508,2.813,13,0.09597
"3","AVR_001","Aprion virescens","Lutjanidae",37.5,0.46,"M1","Macroalgae","Piscivore",4.3,"pelagic",112,0.140000001,4.286896,31.38,NA,0.311,41,0.19634
"4","AVR_002","Aprion virescens","Lutjanidae",36.5,0.43,"M1","Macroalgae","Piscivore",4.3,"pelagic",112,0.140000001,4.286896,27.179,0.549,NA,16,0.18766
"5","AVR_003","Aprion virescens","Lutjanidae",38,0.46,"M1","Macroalgae","Piscivore",4.3,"pelagic",112,0.140000001,4.286896,24.687,0.742,NA,11,0.26596
"6","AVR_004","Aprion virescens","Lutjanidae",39,0.5,"C1","Coral","Piscivore",4.3,"pelagic",112,0.140000001,4.286896,23.812,1.258,1.884,51,0.22274
"7","AVR_005","Aprion virescens","Lutjanidae",51,1.2,"C1","Coral","Piscivore",4.3,"pelagic",112,0.140000001,4.286896,15.915,0.357,1.294,36,0.26259
"8","AVR_006","Aprion virescens","Lutjanidae",39.5,0.57,"C1","Coral","Piscivore",4.3,"pelagic",112,0.140000001,4.286896,17.7,0.492,2.33,41,0.17388
"9","AVR_007","Aprion virescens","Lutjanidae",43.5,0.71,"M1","Macroalgae","Piscivore",4.3,"pelagic",112,0.140000001,4.286896,27.246,0.902,NA,28,0.30146
"10","AVR_008","Aprion virescens","Lutjanidae",39,0.56,"M1","Macroalgae","Piscivore",4.3,"pelagic",112,0.140000001,4.286896,34.725,0.536,2.266,58,0.25394
"11","AVR_009","Aprion virescens","Lutjanidae",43,0.61,"C2","Coral","Piscivore",4.3,"pelagic",112,0.140000001,4.286896,25.835,1.219,NA,8,0.13002
"12","AVR_010","Aprion virescens","Lutjanidae",42,0.64,"C2","Coral","Piscivore",4.3,"pelagic",112,0.140000001,4.286896,18.845,0.453,NA,14,0.13751
"13","AVR_012","Aprion virescens","Lutjanidae",59,1.785,"M2","Macroalgae","Piscivore",4.3,"pelagic",112,0.140000001,4.286896,22.992,0.475,NA,31,0.12987
